,Var,Percentile,Control,RCP4.5,RCP8.5
3,ET Complete 10mm/hr,P Val,1.0,0.259,0.0
0,Trop Peak Max Precip Rate,10%,24.148,22.104,24.342
1,Trop Peak Max Precip Rate,Median,43.255,47.129,50.762
2,Trop Peak Max Precip Rate,90%,56.782,67.84,79.282
3,Trop Peak Max Precip Rate,P Val,1.0,0.074,0.001
0,ET Begin Max Precip Rate,10%,11.126,16.859,14.961
1,ET Begin Max Precip Rate,Median,28.266,30.53,33.888
2,ET Begin Max Precip Rate,90%,51.797,67.312,75.208
3,ET Begin Max Precip Rate,P Val,1.0,0.255,0.147
0,ET Complete Max Precip Rate,10%,7.238,7.783,11.32
1,ET Complete Max Precip Rate,Median,13.907,14.28,20.24
2,ET Complete Max Precip Rate,90%,21.032,24.512,31.627
3,ET Complete Max Precip Rate,P Val,1.0,0.422,0.0
0,Trop Peak Max Precip Water,10%,71.193,69.739,77.095
1,Trop Peak Max Precip Water,Median,83.417,93.697,103.97
2,Trop Peak Max Precip Water,90%,91.442,104.026,117.374
3,Trop Peak Max Precip Water,P Val,1.0,0.0,0.0
0,ET Begin Max Precip Water,10%,55.037,60.044,63.324
1,ET Begin Max Precip Water,Median,75.738,80.055,84.421
2,ET Begin Max Precip Water,90%,86.312,101.438,111.221
3,ET Begin Max Precip Water,P Val,1.0,0.017,0.0
0,ET Complete Max Precip Water,10%,44.533,48.415,56.971
1,ET Complete Max Precip Water,Median,55.743,59.259,67.197
2,ET Complete Max Precip Water,90%,62.156,69.84,75.222
3,ET Complete Max Precip Water,P Val,1.0,0.005,0.0
0,Trop Peak 850hPa Temp,10%,13.806,13.323,15.851
1,Trop Peak 850hPa Temp,Median,16.741,18.159,19.968
2,Trop Peak 850hPa Temp,90%,18.45,19.999,21.519
3,Trop Peak 850hPa Temp,P Val,1.0,0.0,0.0
0,ET Begin 850hPa Temp,10%,11.338,13.402,14.693
1,ET Begin 850hPa Temp,Median,15.908,18.044,18.81
2,ET Begin 850hPa Temp,90%,17.743,21.397,21.385
3,ET Begin 850hPa Temp,P Val,1.0,0.0,0.0
0,ET Complete 850hPa Temp,10%,5.498,7.893,11.069
1,ET Complete 850hPa Temp,Median,12.803,14.745,16.696
2,ET Complete 850hPa Temp,90%,16.523,18.973,19.912
3,ET Complete 850hPa Temp,P Val,1.0,0.014,0.0
0,Trop Peak 500hPa Temp,10%,-9.382,-7.818,-6.978
1,Trop Peak 500hPa Temp,Median,-6.334,-4.305,-2.253
2,Trop Peak 500hPa Temp,90%,-4.331,-2.169,-0.184
3,Trop Peak 500hPa Temp,P Val,1.0,0.0,0.0
0,ET Begin 500hPa Temp,10%,-11.204,-8.523,-7.571
1,ET Begin 500hPa Temp,Median,-6.957,-5.608,-3.651
2,ET Begin 500hPa Temp,90%,-5.026,-2.869,-0.535
3,ET Begin 500hPa Temp,P Val,1.0,0.0,0.0
0,ET Complete 500hPa Temp,10%,-16.1,-13.2,-9.318
1,ET Complete 500hPa Temp,Median,-10.405,-7.991,-5.64
2,ET Complete 500hPa Temp,90%,-6.042,-4.766,-2.935
3,ET Complete 500hPa Temp,P Val,1.0,0.0,0.0
0,Trop Peak 200hPa U,10%,-7.684,-2.503,-1.269
1,Trop Peak 200hPa U,Median,4.701,9.807,9.22
2,Trop Peak 200hPa U,90%,21.232,22.351,30.066
3,Trop Peak 200hPa U,P Val,1.0,0.018,0.027
0,ET Begin 200hPa U,10%,4.153,7.863,3.262
1,ET Begin 200hPa U,Median,13.375,14.352,13.851
2,ET Begin 200hPa U,90%,22.508,23.425,29.237
3,ET Begin 200hPa U,P Val,1.0,0.093,0.484
0,ET Complete 200hPa U,10%,6.101,8.706,4.74
1,ET Complete 200hPa U,Median,21.45,21.273,22.133
2,ET Complete 200hPa U,90%,38.493,32.606,36.677
3,ET Complete 200hPa U,P Val,1.0,0.866,0.986
